scenario,iter,profit,produced,good,th_per_hr,epp,J
S1_profit,185,2499.7396,36,36,5.400000,2.251156,2499.739598
S1_profit,186,2499.7396,36,36,5.400000,2.251156,2499.739598
S1_profit,187,2151.8245,31,31,4.650000,2.345225,2151.824504
S1_profit,188,2499.7396,36,36,5.400000,2.251156,2499.739598
S1_profit,189,2012.8448,29,29,4.350000,2.366239,2012.844765
S1_profit,190,2012.6439,29,29,4.350000,2.393939,2012.643945
S1_profit,191,2499.7396,36,36,5.400000,2.251156,2499.739598
S1_profit,192,2499.7396,36,36,5.400000,2.251156,2499.739598
S1_profit,193,1456.6984,21,21,3.150000,2.533643,1456.698377
S1_profit,194,2499.7396,36,36,5.400000,2.251156,2499.739598
S1_profit,195,2291.3983,33,33,4.950000,2.254757,2291.398251
S1_profit,196,2499.7396,36,36,5.400000,2.251156,2499.739598
S1_profit,197,2499.7396,36,36,5.400000,2.251156,2499.739598
S1_profit,198,2499.7396,36,36,5.400000,2.251156,2499.739598
S1_profit,199,2221.1732,32,32,4.800000,2.353351,2221.173192
S1_profit,200,2499.7396,36,36,5.400000,2.251156,2499.739598
S1_profit,201,1596.5734,23,23,3.450000,2.335065,1596.573378
S1_profit,202,2499.7396,36,36,5.400000,2.251156,2499.739598
S1_profit,203,2499.7396,36,36,5.400000,2.251156,2499.739598
S1_profit,204,2360.4085,34,34,5.100000,2.304888,2360.408453
S1_profit,205,2499.7396,36,36,5.400000,2.251156,2499.739598
S1_profit,206,1319.6102,19,19,2.850000,2.187331,1319.610177
S1_profit,207,1944.5016,28,28,4.200000,2.214059,1944.501584
S1_profit,208,2221.1732,32,32,4.800000,2.353351,2221.173192
S1_profit,209,2291.3331,33,33,4.950000,2.262657,2291.333081
S1_profit,210,2222.0181,32,32,4.800000,2.247743,2222.018058
S1_profit,211,2012.6136,29,29,4.350000,2.398120,2012.613634
S1_profit,212,1179.3028,17,17,2.550000,2.516984,1179.302818
S1_profit,213,2152.5074,31,31,4.650000,2.257111,2152.507387
S1_profit,214,1596.7542,23,23,3.450000,2.303610,1596.754241
S1_profit,215,2499.7396,36,36,5.400000,2.251156,2499.739598
S1_profit,216,2499.7396,36,36,5.400000,2.251156,2499.739598
S1_profit,217,2291.3331,33,33,4.950000,2.262657,2291.333081
S1_profit,218,2499.7396,36,36,5.400000,2.251156,2499.739598
S1_profit,219,2499.7396,36,36,5.400000,2.251156,2499.739598
S1_profit,220,2012.8448,29,29,4.350000,2.366239,2012.844765
S1_profit,221,2499.7396,36,36,5.400000,2.251156,2499.739598
S1_profit,222,1456.6984,21,21,3.150000,2.533643,1456.698377
S1_profit,223,1944.5016,28,28,4.200000,2.214059,1944.501584
S1_profit,224,2499.7396,36,36,5.400000,2.251156,2499.739598
S1_profit,225,1874.2046,27,27,4.050000,2.340055,1874.204630
S1_profit,226,1944.3517,28,28,4.200000,2.235471,1944.351704
S1_profit,227,1944.5016,28,28,4.200000,2.214059,1944.501584
S1_profit,228,2082.9095,30,30,4.500000,2.278729,2082.909534
S1_profit,229,2151.8245,31,31,4.650000,2.345225,2151.824504
S1_profit,230,2499.7396,36,36,5.400000,2.251156,2499.739598
S1_profit,231,2360.6929,34,34,5.100000,2.271425,2360.692889
S1_profit,232,2012.8448,29,29,4.350000,2.366239,2012.844765
S1_profit,233,2499.7396,36,36,5.400000,2.251156,2499.739598
S1_profit,234,1874.2046,27,27,4.050000,2.340055,1874.204630
S1_profit,235,1249.8131,18,18,2.700000,2.263765,1249.813059
S1_profit,236,1873.7794,27,27,4.050000,2.403055,1873.779379
S1_profit,237,2499.7396,36,36,5.400000,2.251156,2499.739598
S1_profit,238,2499.7396,36,36,5.400000,2.251156,2499.739598
S1_profit,239,2291.3331,33,33,4.950000,2.262657,2291.333081
S1_profit,240,1665.6088,24,24,3.600000,2.398540,1665.608760
S1_profit,241,2152.5074,31,31,4.650000,2.257111,2152.507387
S1_profit,242,1665.6088,24,24,3.600000,2.398540,1665.608760
S1_profit,243,1318.9991,19,19,2.850000,2.315988,1318.999059
S1_profit,244,2152.5074,31,31,4.650000,2.257111,2152.507387
S1_profit,245,2499.7396,36,36,5.400000,2.251156,2499.739598
S1_profit,246,2290.3956,33,33,4.950000,2.376285,2290.395649
S1_profit,247,1318.9991,19,19,2.850000,2.315988,1318.999059
S1_profit,248,1318.9991,19,19,2.850000,2.315988,1318.999059
S1_profit,249,1735.8351,25,25,3.750000,2.266379,1735.835131
S1_profit,250,2499.7396,36,36,5.400000,2.251156,2499.739598
S1_profit,251,2499.7396,36,36,5.400000,2.251156,2499.739598
S1_profit,252,1596.8288,23,23,3.450000,2.290636,1596.828845
S1_profit,253,2012.8448,29,29,4.350000,2.366239,2012.844765
S1_profit,254,2499.7396,36,36,5.400000,2.251156,2499.739598
S1_profit,255,2429.4452,35,35,5.250000,2.349123,2429.445171
S1_profit,256,2499.7396,36,36,5.400000,2.251156,2499.739598
S1_profit,257,1875.2951,27,27,4.050000,2.178499,1875.295134
S1_profit,258,2012.6136,29,29,4.350000,2.398120,2012.613634
S1_profit,259,2499.7396,36,36,5.400000,2.251156,2499.739598
S1_profit,260,1250.7295,18,18,2.700000,2.060121,1250.729457
S1_profit,261,2499.7396,36,36,5.400000,2.251156,2499.739598
S1_profit,262,2291.3983,33,33,4.950000,2.254757,2291.398251
S1_profit,263,2360.6758,34,34,5.100000,2.273439,2360.675771
S1_profit,264,2012.8448,29,29,4.350000,2.366239,2012.844765
S1_profit,265,2360.4085,34,34,5.100000,2.304888,2360.408453
S1_profit,266,2360.0066,34,34,5.100000,2.352161,2360.006636
S1_profit,267,1944.5016,28,28,4.200000,2.214059,1944.501584
S1_profit,268,2499.7396,36,36,5.400000,2.251156,2499.739598
S1_profit,269,2360.2199,34,34,5.100000,2.327074,2360.219875
S1_profit,270,2012.6136,29,29,4.350000,2.398120,2012.613634
S1_profit,271,2499.7396,36,36,5.400000,2.251156,2499.739598
S1_profit,272,2082.9225,30,30,4.500000,2.277002,2082.922487
S1_profit,273,2082.9095,30,30,4.500000,2.278729,2082.909534
S1_profit,274,1942.4148,28,28,4.200000,2.512177,1942.414763
S1_profit,275,2290.9249,33,33,4.950000,2.312139,2290.924852
S1_profit,276,2499.7396,36,36,5.400000,2.251156,2499.739598
S1_profit,277,1942.8975,28,28,4.200000,2.443209,1942.897539
