scenario,iter,profit,produced,good,shortfall,th_per_hr,epp,cpp,oeeM3,J
S3_profit_targetPenalty,133,2154.3040,31,31,39,4.650000,2.025285,0.607586,0.775000,1179.304040
S3_profit_targetPenalty,134,2084.7426,30,30,40,4.500000,2.034315,0.610295,0.750000,1084.742636
S3_profit_targetPenalty,135,2154.3040,31,31,39,4.650000,2.025285,0.607586,0.775000,1179.304040
S3_profit_targetPenalty,136,2154.3040,31,31,39,4.650000,2.025285,0.607586,0.775000,1179.304040
S3_profit_targetPenalty,137,2154.3040,31,31,39,4.650000,2.025285,0.607586,0.775000,1179.304040
S3_profit_targetPenalty,138,2154.3040,31,31,39,4.650000,2.025285,0.607586,0.775000,1179.304040
S3_profit_targetPenalty,139,2154.3040,31,31,39,4.650000,2.025285,0.607586,0.775000,1179.304040
S3_profit_targetPenalty,140,1666.1755,24,24,46,3.600000,2.304076,0.691223,0.600000,516.175543
S3_profit_targetPenalty,141,1388.4825,20,20,50,3.000000,2.303500,0.691050,0.500000,138.482501
S3_profit_targetPenalty,142,2154.3040,31,31,39,4.650000,2.025285,0.607586,0.775000,1179.304040
S3_profit_targetPenalty,143,1735.7449,25,25,45,3.750000,2.280809,0.684243,0.625000,610.744944
S3_profit_targetPenalty,144,2154.3040,31,31,39,4.650000,2.025285,0.607586,0.775000,1179.304040
S3_profit_targetPenalty,145,2084.7599,30,30,40,4.500000,2.032012,0.609604,0.750000,1084.759908
S3_profit_targetPenalty,146,2154.3040,31,31,39,4.650000,2.025285,0.607586,0.775000,1179.304040
S3_profit_targetPenalty,147,1666.8935,24,24,46,3.600000,2.184420,0.655326,0.600000,516.893479
S3_profit_targetPenalty,148,2154.3040,31,31,39,4.650000,2.025285,0.607586,0.775000,1179.304040
S3_profit_targetPenalty,149,2154.3040,31,31,39,4.650000,2.025285,0.607586,0.775000,1179.304040
S3_profit_targetPenalty,150,1667.5026,24,24,46,3.600000,2.082903,0.624871,0.600000,517.502582
S3_profit_targetPenalty,151,2154.3040,31,31,39,4.650000,2.025285,0.607586,0.775000,1179.304040
S3_profit_targetPenalty,152,2154.3040,31,31,39,4.650000,2.025285,0.607586,0.775000,1179.304040
S3_profit_targetPenalty,153,2154.3040,31,31,39,4.650000,2.025285,0.607586,0.775000,1179.304040
S3_profit_targetPenalty,154,2154.3040,31,31,39,4.650000,2.025285,0.607586,0.775000,1179.304040
S3_profit_targetPenalty,155,2154.3040,31,31,39,4.650000,2.025285,0.607586,0.775000,1179.304040
S3_profit_targetPenalty,156,1596.9826,23,23,47,3.450000,2.263901,0.679170,0.575000,421.982571
S3_profit_targetPenalty,157,2154.3040,31,31,39,4.650000,2.025285,0.607586,0.775000,1179.304040
S3_profit_targetPenalty,158,1667.5026,24,24,46,3.600000,2.082903,0.624871,0.600000,517.502582
S3_profit_targetPenalty,159,1874.9226,27,27,43,4.050000,2.233690,0.670107,0.675000,799.922595
S3_profit_targetPenalty,160,2154.3040,31,31,39,4.650000,2.025285,0.607586,0.775000,1179.304040
S3_profit_targetPenalty,161,2154.3040,31,31,39,4.650000,2.025285,0.607586,0.775000,1179.304040
S3_profit_targetPenalty,162,2154.3040,31,31,39,4.650000,2.025285,0.607586,0.775000,1179.304040
S3_profit_targetPenalty,163,2084.7426,30,30,40,4.500000,2.034315,0.610295,0.750000,1084.742636
